3.167011462651527108e+04,1.504113101959228427e+00
3.284797881235888053e+04,2.151164183616638326e+01
3.028183423140208470e+04,2.156221134662628103e+01
3.896235905523987458e+04,2.994730098247528005e+01
3.122419316026961314e+04,1.442712640762329190e+00
3.259614865900510267e+04,2.281980469226837016e+01
3.038074541860471800e+04,2.085788753032684184e+01
3.930617257159583096e+04,1.200400113821029606e+02
3.123661943693471767e+04,1.641351056098937944e+00
3.268219555034516452e+04,2.346076517105102610e+01
2.975304643045994453e+04,2.190666220188141011e+01
3.987478865348869294e+04,2.668297421932220459e+01
3.010930903813688201e+04,1.819376301765441850e+00
3.313167961461913364e+04,2.383758089542389058e+01
3.211846961758133693e+04,2.531679322004318351e+02
4.106457882091509236e+04,2.229394868373870793e+02
3.272810700550675392e+04,1.035645868301391630e+02
3.299098333088336221e+04,9.675008378028869060e+01
3.032503376205319728e+04,2.101419992446899343e+01
3.868386644987255568e+04,2.763887062072753764e+01
